Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,StdError,StdError,StdError,StdError,StdError,StdError
Pressure,Temperature,Altitude,CO2,CO,H2O,O3,HCl,Pressure,Temperature,CO2,CO,H2O,O3
4.8974e-07,1.4533e+02,8.4495e+01,9.5172e-01,4.2638e-03,1.1792e-05,1.7902e-08,1.0000e-09,4.8974e-07,1.1750e+01,1.6348e-02,4.6161e-03,1.0326e-05,6.0088e-08
2.4320e-07,1.3992e+02,8.9353e+01,9.4522e-01,6.0533e-03,1.1211e-05,1.0488e-08,1.0000e-09,2.4320e-07,1.1487e+01,2.3834e-02,6.7525e-03,9.8871e-06,3.1976e-08
1.2077e-07,1.3681e+02,9.4053e+01,9.3694e-01,8.3472e-03,1.0751e-05,4.8096e-09,1.0000e-09,1.2077e-07,1.0966e+01,3.2472e-02,9.2333e-03,9.5893e-06,1.3552e-08
5.9972e-08,1.3352e+02,9.8631e+01,9.2930e-01,1.0098e-02,1.1097e-05,1.8856e-09,1.0000e-09,5.9972e-08,1.0279e+01,4.0326e-02,1.1097e-02,1.0262e-05,5.4486e-09
2.9781e-08,1.2796e+02,1.0305e+02,9.1707e-01,1.3062e-02,1.1298e-05,8.2342e-10,1.0000e-09,2.9781e-08,9.2863e+00,4.9638e-02,1.3780e-02,1.0629e-05,2.3695e-09
1.4789e-08,1.2111e+02,1.0725e+02,9.0117e-01,1.6641e-02,1.2318e-05,3.5836e-10,1.0000e-09,1.4789e-08,9.0403e+00,5.8941e-02,1.6607e-02,1.1889e-05,9.9888e-10
7.3439e-09,1.1542e+02,1.1122e+02,8.7956e-01,2.1354e-02,1.4607e-05,1.6335e-10,1.0000e-09,7.3439e-09,1.0900e+01,6.7996e-02,1.9659e-02,1.4579e-05,4.5032e-10
8.9931e-10,1.3927e+02,1.2404e+02,7.9225e-01,4.3514e-02,2.9704e-05,1.1570e-11,1.0000e-09,8.9931e-10,1.3994e+01,9.5189e-02,2.9091e-02,3.3493e-05,4.6121e-11
1.1013e-10,1.7415e+02,1.3969e+02,6.6948e-01,7.4717e-02,7.0778e-05,2.1183e-12,1.0000e-09,1.1013e-10,2.3657e+01,1.3684e-01,3.8041e-02,8.5261e-05,1.0837e-11
1.3486e-11,1.8258e+02,1.5735e+02,4.6207e-01,1.0783e-01,1.8993e-04,7.4822e-13,1.0000e-09,1.3486e-11,2.6796e+01,1.6322e-01,3.6798e-02,2.2214e-04,4.0541e-12
1.6514e-12,1.8369e+02,1.7530e+02,1.9203e-01,1.0732e-01,4.2716e-04,1.4741e-13,1.0000e-09,1.6514e-12,2.7139e+01,1.1974e-01,2.3124e-02,4.5857e-04,8.1492e-13
2.0223e-13,1.8383e+02,1.9313e+02,2.3632e-02,4.5749e-02,4.4120e-04,4.1147e-15,1.0000e-09,2.0223e-13,2.7187e+01,2.5123e-02,2.2502e-02,4.6120e-04,2.9136e-14
